,Course_Name,Course_Description,Lectures_Num,Course_Level,Course_hours,Rate,Number_Rates
165,tame big data apach spark python hand,dive right handson exampl analyz larg data set apach spark desktop hadoop sundog educ frank kane,51,All Levels,55,4.4,7403
166,part foundat enterpris architect certif trng,softwar architectur certif togaf part exam becom togaf foundat scott duffi student,170,All Levels,105,4.4,9278
167,unreal engin c ultim game develop cours,learn develop code packag complet video game unreal engin stephen ulibarri,100,All Levels,335,4.6,774
168,modern angular bootcamp,get job readi angular v understand build test deploy productionreadi app stephen grider,497,All Levels,45,4.8,176
169,modern graphql bootcamp nodej apollo,learn build graphql applic use nodej includ prisma authent apollo client andrew mead,118,Beginner,235,4.7,2474
170,python deep dive part hash map,dictionari set relat data structur fred baptist,79,Intermediate,205,4.8,189
171,unreal engin develop first two game,epic gamesapprov learn unreal editor master gameplay framework use blueprint program without code christoph murphi,85,Beginner,155,4.5,8247
172,comprehens android develop masterclass,learn new android api like room databas ml kit face recognit firestor firebas map android studio ide paulo dichon android java flutter develop teacher,325,All Levels,43,4.5,880
173,node js advanc concept,get advanc nodej learn cach redi speed cluster add imag upload node stephen grider,166,Intermediate,16,4.7,4040
174,istio handson kubernet,learn istio servic mesh turbo charg kubernet career hand real world practic richard chesterwood,47,All Levels,11,4.7,375
175,code beginn learn code,perfect cours complet beginn friendli experi requir go scratch code real app applaus interact,33,Beginner,8,4.5,1729
176,php laravel beginn becom master laravel,learn master laravel make advanc applic like real cm app build cours edwin diaz,336,All Levels,32,4.4,7165
177,python flask bootcamp creat websit use flask,creat awesom websit use power flask framework python jose portilla,126,All Levels,20,4.6,2938
178,github ultim master git github beginn expert,go complet novic expert git github use stepbystep noassumpt learn jason taylor,151,All Levels,65,4.4,4143
179,deep learn advanc comput vision gan ssd,vgg resnet incept ssd neural style transfer gan use cnn tensorflow kera python lazi programm inc,88,Intermediate,95,4.6,2087
180,deep learn comput vision az opencv ssd gan,becom wizard latest comput vision tool exist detect anyth creat power app hadelin de pontev,83,All Levels,11,4.4,4024
181,ethereum solid complet develop guid,use ethereum solid smart contract build productionreadi app base blockchain stephen grider,250,All Levels,24,4.5,9504
182,learn creat rpg game uniti,game develop made easi learn c use uniti creat classic rpg jame doyl,117,All Levels,18,4.6,2123
183,unreal engin masteri creat multiplay game c,unleash power c blueprint develop multiplay game ai epic gamesapprov cours tom looman,147,All Levels,175,4.5,4032
184,webservicesrest api test soapui real time project,popular soapui test autom cours student learn togeth great collabor rahul shetti,107,All Levels,19,4.4,8264
