_id,Course_Name,Course_Rate,Course_Description,Lectures_Num,Course_Level,Course_hours
5e4117ba70dfe123d09ba8a9,Gradle Fundamentals,"4.3
(522 ratings)",Learn the fundamentals of Gradle | By Jimmy H.,24 lectures,Beginner,2.5 hours
5e4117ba70dfe123d09ba8aa,High Performance Coding with .NET Core and C#,"4.3
(324 ratings)",Learn how to write high performance and scalable .NET Core and ASP.NET Core applications in C# | By Gergely Kalapos,38 lectures,Intermediate,6.5 hours
5e4117ba70dfe123d09ba8ab,Java Message Service - JMS Fundamentals,"4.5
(299 ratings)",Master the fundamentals of Java Messaging in Simple Steps | By Bharath Thippireddy,99 lectures,All Levels,5.5 hours
5e4117ba70dfe123d09ba8ac,30 Days of Python | Unlock your Python Potential,"4.3
(6,596 ratings)","Python is simple enough for beginners, powerful enough for the pros. Use it for IOT, Web Scraping, Big Data, and more. | By Justin Mitchel",45 lectures,All Levels,9.5 hours
5e4117ba70dfe123d09ba8ad,POSTMAN API Testing - Step by Step for Beginners,"4.3
(1,320 ratings)",learn POSTMAN from scratch | By Raghav Pal,20 lectures,Beginner,2.5 hours
5e4117ba70dfe123d09ba8ae,Learning Algorithms in JavaScript from Scratch,"4.5
(1,514 ratings)",Make your code & programs faster and more efficient by using algorithms. Be very well prepared for technical interviews. | By Eric Traub,69 lectures,All Levels,3.5 hours
5e4117ba70dfe123d09ba8af,Learn Amazon EKS: A Managed Kubernetes Service on AWS,"4.4
(40 ratings)",Learn how to effectively run Kubernetes on AWS using Amazon EKS - Basics to an in-depth review of advanced features | By Dhiman Halder,18 lectures,Intermediate,2.5 hours
5e4117ba70dfe123d09ba8b0,Magento - Magento 2 Certified Developer Exam : Full course,"3.9
(176 ratings)",Want to pass the Magento 2 Certified Associate Developer Exam? Want to become Magento 2 Certified? Do this course! | By Sourabh Modi,40 lectures,All Levels,7 hours
5e4117bb70dfe123d09ba8b1,C# Performance Tricks: How To Radically Speed Up Your Code.,"4.5
(699 ratings)",This course will help you speed up your C# code and provides many tricks that every professional developer must know. | By Mark Farragher,38 lectures,All Levels,4.5 hours
5e4117bb70dfe123d09ba8b2,Game Physics - Introducing Gravitation & Rotation in Unity,"4.4
(937 ratings)",Step-by-step tutorial on how to create a basic rigid body motion physics from scratch. Taught in C# using Unity 3D free. | By Ben Tristem,45 lectures,Intermediate,5.5 hours
5e4117bb70dfe123d09ba8b3,Apache Camel for Beginners - Learn by Coding in Java,"4.1
(556 ratings)",Learn Apache Camel framework by coding and building apps in Java. | By Dilip S,84 lectures,All Levels,11 hours
5e4117bb70dfe123d09ba8b4,"Ultimate PHP, CSS And SASS: Enhance Your JavaScript Skills!","4.4
(42 ratings)","Ultimate PHP, CSS and Sass create most modern Flexbox, CSS grid and Bootstrap designs. Use Javascript, PHP PDO like pro. | By Rick Sekuloski",387 lectures,All Levels,78.5 hours
5e4117bb70dfe123d09ba8b5,The Complete WordPress Theme Development Course,"4.5
(638 ratings)","Learn about WordPress Theme development including custom WordPress functions, page templates, tags, sidebars and more | By Alexander Oni",158 lectures,Expert,12.5 hours
5e4117bb70dfe123d09ba8b6,Continuous Deployments using Spinnaker on AWS and Kubernetes,"4.2
(439 ratings)",Use Spinnaker to execute your DevOps strategy. Use immutable infrastructure to deploy using Spinnak on AWS or Kubernetes | By Edward Viaene,48 lectures,Expert,4.5 hours
5e4117c770dfe123d09ba8b7,"Interaction Tests, Mocks & Refactoring in Embedded Software","4.8
(3 ratings)",Dr. Surly’s School for Mad Scientists: Advanced Test Driven Development for Embedded & System Software in C | By Mark VanderVoord,57 lectures,Intermediate,7 hours
5e4117c770dfe123d09ba8b8,MVVM in WPF Survival Guide From A to Z,"3.9
(434 ratings)",Learn how to create a maintainable Windows application applying MVVM to WPF. Introduction to Caliburn.Micro. | By Engineer Spock,93 lectures,Intermediate,4.5 hours
5e4117c770dfe123d09ba8b9,GIT: Advanced commands,"4.2
(339 ratings)","Practical GIT training: cherry pick, rebase, revert, stash, clean, and more. Take your GIT skills to the next level. | By Brian Gorman",40 lectures,Intermediate,4 hours
5e4117c770dfe123d09ba8ba,Mastering Thymeleaf with Spring Boot,"4.3
(536 ratings)",Become an expert using Thymeleaf Templates with Spring Boot | By John Thompson,65 lectures,All Levels,4.5 hours
5e4117c770dfe123d09ba8bb,Build a Realtime App with React Hooks and GraphQL,"4.1
(274 ratings)","Master the latest and greatest features in React within the context of a full-stack, real-world app | By Reed Barger",37 lectures,Intermediate,4.5 hours
5e4117c770dfe123d09ba8bc,Functional Programming in JavaScript: A Practical Guide,"4.5
(85 ratings)","Finally, understand the concepts of functional programming in JavaScript. | By Steven Hancock",48 lectures,Intermediate,6.5 hours
5e4117c770dfe123d09ba8bd,Introduction to Programming,"4.7
(792 ratings)",Professional Coding Skills for Beginners | By Framework Television Inc.,174 lectures,Beginner,12 hours
5e4117c770dfe123d09ba8be,"GraphQL Apollo Server with Node.js, MongoDB - GraphQL API","4.6
(42 ratings)","GraphQL API Server with Apollo, Node.js, MongoDB. Jwt Authentication, Cursor Pagination, DB Query Batching & Caching | By Rapid Dev Pro",43 lectures,All Levels,4.5 hours
5e4117c770dfe123d09ba8bf,GIS: Understand the Theory and Practice GIS in QGIS,"4.2
(574 ratings)","Learn the theory of Geographic Information Systems, and get trained on making maps and analyzing spatial data in QGIS. | By Ardit Sulce",40 lectures,Beginner,2.5 hours
5e4117c770dfe123d09ba8c0,Unreal Engine 4: For Absolute Beginners,"4.3
(204 ratings)",Learn the basics of making games with UE4 & Unreal Engine 4 | By Devslopes by Mark Price,86 lectures,Beginner,15 hours
5e4117c770dfe123d09ba8c1,Building Machine Learning Web Apps with Python,"4.6
(11 ratings)",Going Beyond Machine Learning Models | By Jesse E. Agbe,71 lectures,All Levels,14.5 hours
5e4117c770dfe123d09ba8c2,REST API Automation With REST Assured - A Complete Guide,"4.4
(594 ratings)",Learn every topic in Rest-Assured with Real World Examples & Test Automation Framework development with CI !! | By Tejasvi Hegde,98 lectures,All Levels,14.5 hours
5e4117c770dfe123d09ba8c3,CSS Bootcamp - Master CSS (Including CSS Grid / Flexbox),"4.6
(243 ratings)","CSS Course - Project Based CSS Tutorial. Learn how to create modern, responsive websites using CSS / CSS Grid / Flexbox | By Code And Create",89 lectures,All Levels,11.5 hours
5e4117c770dfe123d09ba8c4,Hyperion Financial Management Advanced Course,"4.5
(17 ratings)",Step by Step Instructions on HFM/FDMEE/FRS/Smart View to Implement Financial Consolidation and Reporting Systems | By Padmaja Vemireddy,67 lectures,Expert,7.5 hours
5e4117c770dfe123d09ba8c5,Ultimate Expert Guide: Mastering PostgreSQL Administration,"3.9
(58 ratings)","Learn everything about PostgreSQL Architecture, Buffering, BART, PITR, Replication, Performance Tuning & External Tables | By TetraNoodle Team",28 lectures,All Levels,10.5 hours
5e4117c770dfe123d09ba8c6,Build a User Authentication Web App With Python and Django,"4.5
(320 ratings)","Learn To Create a User Authentication System in Django to Register Users, Log In, Log Out, Edit Profiles, and More! | By John Elder",32 lectures,Beginner,2.5 hours
5e4117d470dfe123d09ba8c7,Web & API Automation using KATALON STUDIO (Best for Newbies),"4.0
(135 ratings)",Katalon Studio | Katalon Recorder| Katalon Analytics | Scripting | Code Management | Reporting |BDD TestCases|Framework | By Testing World,137 lectures,Beginner,16.5 hours
